"Station_ID","Longitude","Latitude",
"TE26-02R","-91.31313","29.29489",
"TE26-03","-91.29561","29.29426",
"TE26-05","-91.27023","29.28056",
"TE28-01","-91.0009","29.38578",
"TE28-02","-90.95728","29.40731",
"TE28-03","-90.96513","29.36959",
"TE28-07R","-90.96672","29.41727",
"TE28-218","-90.95853","29.40782",
"TV04-03","-91.60734","29.69077",
"TV04-04R","-91.60817","29.72799",
"TV04-22","-91.56989","29.66753",
"TV14-01","-91.75404","29.57102",
"TV14-03R","-91.77191","29.52407",
"TV14-04R","-91.80774","29.58768",
"TV14-23","-91.77349","29.55756",
